lat,long,date,time,region
11.1209,122.5776,12/04/2022,13:30:00,Iloilo
11.1317,122.538,12/04/2022,13:30:00,Iloilo
11.1574,122.4307,12/04/2022,13:30:00,Iloilo
11.1162,122.5276,12/04/2022,13:30:00,Iloilo
11.1787,122.5385,12/04/2022,13:30:00,Iloilo
10.6352,122.9579,11/04/2022,09:45:00,Negros Island Region
10.6985,123.1732,11/04/2022,23:30:00,Negros Occidental
10.7551,123.0845,11/04/2022,08:00:00,Negros Occidental
10.497,123.3599,12/04/2022,07:08:00,Negros Occidental
11.1091,122.0908,11/04/2022,20:00:00,Antique
11.12,122.0918,11/04/2022,20:00:00,Antique
11.1279,122.1193,11/04/2022,20:00:00,Antique
11.0632,122.1376,12/04/2022,03:00:00,Antique
10.1821,124.8379,10/04/2022,12:00:00,Southern Leyte
10.2162,124.8761,10/04/2022,12:00:00,Southern Leyte
10.43,125.0076,10/04/2022,12:00:00,Southern Leyte
10.6652,124.8218,10/04/2022,17:00:00,Leyte
10.6245,124.9242,12/04/2022,17:00:00,Leyte
10.6789,124.8223,10/04/2022,17:00:00,Leyte
10.5785,124.8703,10/04/2022,17:00:00,Leyte
10.6324,124.7791,10/04/2022,17:00:00,Leyte
10.6377,124.8639,12/04/2022,17:00:00,Leyte
10.9465,124.4447,12/04/2022,17:00:00,Leyte
10.9356,124.4728,12/04/2022,17:00:00,Leyte
10.3932,124.8132,10/04/2022,17:00:00,Leyte
10.7061,125.0064,12/04/2022,12:00:00,Leyte
10.9066,124.9608,11/04/2022,11:00:00,Leyte
11.3206,124.5665,10/04/2022,17:00:00,Leyte
10.3461,124.8195,12/04/2022,17:00:00,Leyte
11.1521,124.8327,12/04/2022,17:00:00,Leyte
10.6322,124.9329,12/04/2022,17:00:00,Leyte
11.1062,125.2117,11/04/2022,11:00:00,Samar
11.6199,124.7865,13/04/2022,11:00:00,Samar
11.4519,124.9631,13/04/2022,11:00:00,Samar
11.565,124.9281,13/04/2022,11:00:00,Samar
8.5069,124.7537,07/04/2022,08:00:00,Northern Mindanao
8.5568,123.6451,06/04/2022,03:00:00,Misamis Occidental
7.5429,126.074,05/04/2022,21:15:00,Davao de Oro
7.3725,126.1401,05/04/2022,20:52:00,Davao de Oro
6.6994,124.377,10/04/2022,08:00:00,Sultan Kudarat
7.989,126.1814,05/04/2022,20:00:00,Davao Oriental
8.0101,126.1242,05/04/2022,21:00:00,Agusan del Sur
14.7064,121.5992,20/01/2021,23:00:00,Quezon
10.7129,123.4391,13/01/2021,11:00:00,Negros Occidental
10.7088,123.396,13/01/2021,11:00:00,Negros Occidental
10.715,123.3788,13/01/2021,11:00:00,Negros Occidental
10.7393,123.4455,13/01/2021,11:00:00,Negros Occidental
10.7281,123.4866,13/01/2021,11:00:00,Negros Occidental
18.4945,120.9932,10/11/2020,17:00:00,Cagayan
18.0976,121.4967,10/11/2020,18:00:00,Cagayan
18.4756,121.3335,11/11/2020,08:40:00,Cagayan
17.9069,121.7737,12/11/2020,11:00:00,Cagayan
17.9001,121.8509,13/11/2020,02:00:00,Cagayan
16.4251,121.3239,12/11/2020,02:00:00,Nueva Vizcaya
16.9619,121.0601,12/11/2020,17:30:00,Ifugao
16.6962,121.2282,12/11/2020,18:00:00,Ifugao
16.9266,121.4588,12/11/2020,22:00:00,Ifugao
17.55,120.9456,13/11/2020,10:00:00,Abra
14.147,121.0037,12/11/2020,21:30:00,Cavite
14.1214,121.3035,12/11/2020,05:20:00,Laguna
14.4084,121.4052,12/11/2020,08:07:00,Laguna
14.2176,121.1241,12/11/2020,08:00:00,Laguna
14.4864,121.2333,11/11/2020,21:30:00,Rizal
14.0135,121.5924,11/11/2020,23:49:00,Quezon
14.5518,121.5715,12/11/2020,08:00:00,Quezon
14.5733,121.6188,12/11/2020,08:00:00,Quezon
13.325,122.5347,11/11/2020,19:00:00,Quezon
13.5376,122.4438,12/11/2020,09:00:00,Quezon
13.9512,122.2959,12/11/2020,03:00:00,Quezon
13.6214,122.5185,12/11/2020,09:00:00,Quezon
13.907,122.447,12/11/2020,09:00:00,Quezon
14.1382,122.2561,12/11/2020,13:00:00,Quezon
13.936,122.0774,12/11/2020,11:30:00,Quezon
13.8591,122.295,12/11/2020,11:30:00,Quezon
14.0054,122.1812,11/11/2020,19:00:00,Quezon
12.6218,122.076,11/11/2020,17:00:00,Romblon
12.3254,121.3435,12/11/2020,16:00:00,Oriental Mindoro
14.2712,122.7809,13/11/2020,12:00:00,Camarines Norte
14.1876,122.5077,13/11/2020,12:00:00,Camarines Norte
13.9512,122.2959,01/11/2020,09:00:00,Quezon
14.1557,121.4904,25/10/2020,06:30:00,Laguna
14.1869,121.5067,25/10/2020,02:00:00,Laguna
14.319,121.0505,25/10/2020,20:00:00,Cavite
14.1696,120.9245,26/10/2020,14:00:00,Cavite
13.9294,121.821,25/10/2020,05:00:00,Quezon
18.3263,122.2571,20/10/2020,09:00:00,Cagayan
16.3642,121.3566,21/10/2020,05:00:00,Nueva Vizcaya
16.358,120.8871,21/10/2020,03:30:00,Nueva Vizcaya
16.8973,120.7978,21/10/2020,12:00:00,Mountain Province
16.8388,121.0049,21/10/2020,13:00:00,Ifugao
16.4617,120.5885,21/10/2020,14:30:00,Benguet
17.4001,121.1628,21/10/2020,15:50:00,Kalinga
17.1638,121.0706,21/10/2020,15:00:00,Mountain Province
9.2519,122.8749,13/07/2024,01:00:00,Negros Oriental
14.0613,121.2424,24/10/2024,,Laguna
14.3609,121.4842,23/10/2024,,Laguna
14.5091,121.4072,23/10/2024,,Laguna
14.4783,121.4465,24/10/2024,,Laguna
14.2644,121.463,24/10/2024,,Laguna
13.7336,121.0767,23/10/2024,,Batangas
13.9741,120.6778,25/10/2024,,Batangas
13.9208,121.0432,24/10/2024,,Batangas
14.0189,120.9353,24/10/2024,,Batangas
13.9472,121.0826,24/10/2024,,Batangas
13.1238,121.2609,23/10/2024,,Oriental Mindoro
14.6267,121.1795,24/10/2024,,Rizal
13.8815,124.1538,22/10/2024,,Catanduanes
13.4895,123.6197,22/10/2024,,Albay
14.2803,122.788,22/10/2024,,Camarines Norte
14.1555,122.8309,22/10/2024,,Camarines Norte
16.2233,121.6572,06/01/2023,,Quirino
16.2282,121.1336,06/01/2023,,Nueva Vizcaya
14.5725,121.5481,05/01/2023,,Quezon
14.483,121.5466,05/01/2023,,Quezon
13.2209,124.0345,21/01/2023,,Albay
13.6648,124.3825,13/01/2023,,Catanduanes
13.6882,124.3923,17/01/2023,,Catanduanes
13.6548,124.378,17/01/2023,,Catanduanes
13.6586,124.3493,17/01/2023,,Catanduanes
13.6262,124.2994,17/01/2023,,Catanduanes
13.6141,124.2977,17/01/2023,,Catanduanes
13.8021,124.4149,17/01/2023,,Catanduanes
13.6404,124.3192,17/01/2023,,Catanduanes
13.8731,124.3332,17/01/2023,,Catanduanes
13.8621,124.3982,17/01/2023,,Catanduanes
13.87,124.3885,17/01/2023,,Catanduanes
13.8438,124.2805,17/01/2023,,Catanduanes
9.8946,124.4726,13/01/2023,,Bohol
9.8641,124.4633,13/01/2023,,Bohol
9.8796,124.4241,13/01/2023,,Bohol
11.3542,124.8091,09/01/2023,,Leyte
11.4071,124.812,10/01/2023,,Leyte
11.3003,124.4672,11/01/2023,,Leyte
12.4783,124.6378,13/01/2023,,Northern Samar
12.3825,124.3354,11/01/2023,,Northern Samar
12.2949,124.5644,12/01/2023,,Samar
11.5122,124.5122,11/01/2023,,Biliran
10.3372,125.1395,13/01/2023,,Southern Leyte
8.4719,123.1295,11/01/2023,,Zamboanga del Norte
8.1052,122.9965,11/01/2023,,Zamboanga del Norte
7.8232,126.1769,11/01/2023,,Davao de Oro
7.8805,125.7036,17/01/2023,,Davao de Oro
7.909,125.7954,17/01/2023,,Davao de Oro
7.9204,125.8072,17/01/2023,,Davao de Oro
7.9473,125.7065,17/01/2023,,Davao de Oro
7.9622,125.8333,17/01/2023,,Agusan del Sur
7.939,125.7438,17/01/2023,,Davao de Oro
7.7421,125.7638,17/01/2023,,Davao de Oro
7.9622,125.8333,24/01/2023,,Agusan del Sur
7.7352,126.5023,29/01/2023,,Davao Oriental
7.9105,126.3509,29/01/2023,,Davao Oriental
7.8757,126.335,29/01/2023,,Davao Oriental
7.8407,126.3708,29/01/2023,,Davao Oriental
10.0705,125.6072,15/01/2023,,Dinagat Islands
10.0093,125.5747,11/01/2023,,Dinagat Islands
9.9532,125.6079,11/01/2023,,Dinagat Islands
